ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
bsthere/mercedes-stock-data-1996-2026,Mercedes-Benz Stock Data (1996-2026),194202,2026-02-26 13:52:53,498,37,1.0
kaushalnandania/crypto-data-2014-2026,Top 50 Cryptocurrency Data (2014 - 2026),8925801,2026-02-17 08:59:51,708,26,1.0
rockyt07/stock-market-sensex-nifty-all-time-dataset,Stock Market Sensex & Nifty All-time Dataset,59549439,2025-11-13 12:17:40,1281,67,1.0
ibrahimshahrukh/top-50-companies-dataset,Global Top 50 Stocks Historical Data (2006–2026),6168886,2026-02-23 02:06:15.217000,308,28,1.0
kanchana1990/tech-giants-and-global-macroeconomic-indicators,Tech Giants & Global Macroeconomic Indicators,878030,2026-03-12 05:32:05.367000,182,32,1.0
kanchana1990/algorithmic-trading-macro-stress-and-asset-regimes,Algorithmic Trading: Macro Stress & Asset Regimes,382546,2026-02-25 04:11:37.147000,354,35,1.0
krupalpatel07/silver-market-intelligence-dataset,Silver Price Historical Dataset,82974,2026-03-05 04:31:17.297000,48,7,1.0
krupalpatel07/dow-jones-global-market-shock-dataset,Dow Jones Global Market Shock Dataset,185913,2026-03-06 06:30:14.463000,10,5,1.0
ibrahimshahrukh/s-and-p-500-historical-data-1980-2026,S&P 500 Historical Daily Prices (1980–2026),941367,2026-02-26 02:30:37.997000,91,13,1.0
patelris/nvidia-corporation-stock-data-1999-2026,📈 NVIDIA Share Price History,227172,2026-04-29 17:11:37.247000,68,16,1.0
hassanjameelahmed/aramco-stock-2019-2025,Aramco-Stock-2019-2025,33045,2026-02-14 05:38:30.307000,49,11,1.0
willianoliveiragibin/time-series-prediction,Time Series Prediction,5933,2026-01-20 22:47:54,16,4,1.0
mafaqbhatti/stock-market-regimes-20002026,Stock Market Regimes (2000–2026),14239487,2026-02-01 02:25:29.437000,221,45,1.0
yekahaaagayeham/stocks-listed-on-nifty-500-july-2021,"Indian Stock Market, Stocks name, symbol(ticker)..",94578,2022-09-15 22:12:09,670,8,0.9411765
vivek468/sip-dataset-nifty-banknifty-gold-and-silver,"SIP ETF Dataset (Nifty, BankNifty, Gold & Silver)",44533,2026-01-14 04:46:52,153,8,1.0
ranodipghosh/top-50-crypto-market-data-daily-usd,"Top 50 Crypto Market Data (Daily, USD)",5050,2026-01-24 17:37:58.133000,682,34,0.9411765
sid17a/btcusdt-1min-perpetual-dataset-binance-apis,BTCUSDT 1min Perpetual Dataset ( Binance APIs ),584039555,2026-01-05 13:21:04,73,3,0.7647059
krupalpatel07/wti-crude-oil,WTI Crude Oil,117856,2026-03-03 05:30:18.767000,131,16,1.0
abidhussai512/macro-regime-dataset-s-and-p-500-vs-federal-fund-rate,Macro Regime Dataset: S&P 500 vs Federal Fund Rate,15701,2026-03-16 04:45:43.063000,12,27,0.9411765
darkmatternet/s-and-p-500-stocks-25-years-of-data-updated-daily,S&P 500 Stocks: 25 Years of Data (Updated Daily),104570337,2026-05-10 22:34:10,869,31,1.0
