label,source_report,source_section,trade_date,symbol,venue_or_market_center,participant_type_code,participant_identifier,side,earliest_order_received_time,latest_order_received_time,order_count,total_order_quantity,activity_description,matched_negative_group_id,session_bucket,source_row_id
positive_marking_close_candidate,"CFTC Complaint: CFTC v. Optiver US LLC et al., filed July 24 2008",Complaint paragraph 256 table; paragraphs 99-126 describe TAS/futures marking-close scheme,2007-03-02,New York Harbor Gasoline futures,NYMEX,CFTC respondent proprietary trading firm and supervised traders,Optiver US LLC / Optiver Holding BV / Optiver VOF / Dowson / Meijer,large futures trading opposite accumulated TAS position during pre-close and close,14:25:00 America/Chicago,14:30:00 America/Chicago,public complaint states large number/significant volume; instance-level order count not exported,public complaint table lists contract/date only; quantities require non-public exhibits,Official CFTC complaint alleges a March 2007 NYMEX energy-futures marking/banging-the-close scheme and lists this date/product as an instance with intent to affect prices. source_seen_in_pdf_strings=True,candidate_only_no_public_matched_control_cftc_optiver_20070302_new_york_harbor_gasoline_futures_1,nymex_preclose_close,cftc_optiver_20070302_new_york_harbor_gasoline_futures_1
positive_marking_close_candidate,"CFTC Complaint: CFTC v. Optiver US LLC et al., filed July 24 2008",Complaint paragraph 256 table; paragraphs 99-126 describe TAS/futures marking-close scheme,2007-03-02,New York Harbor Gasoline futures,NYMEX,CFTC respondent proprietary trading firm and supervised traders,Optiver US LLC / Optiver Holding BV / Optiver VOF / Dowson / Meijer,large futures trading opposite accumulated TAS position during pre-close and close,14:25:00 America/Chicago,14:30:00 America/Chicago,public complaint states large number/significant volume; instance-level order count not exported,public complaint table lists contract/date only; quantities require non-public exhibits,Official CFTC complaint alleges a March 2007 NYMEX energy-futures marking/banging-the-close scheme and lists this date/product as an instance with intent to affect prices. source_seen_in_pdf_strings=True,candidate_only_no_public_matched_control_cftc_optiver_20070302_new_york_harbor_gasoline_futures_2,nymex_preclose_close,cftc_optiver_20070302_new_york_harbor_gasoline_futures_2
positive_marking_close_candidate,"CFTC Complaint: CFTC v. Optiver US LLC et al., filed July 24 2008",Complaint paragraph 256 table; paragraphs 99-126 describe TAS/futures marking-close scheme,2007-03-06,Light Sweet Crude Oil futures,NYMEX,CFTC respondent proprietary trading firm and supervised traders,Optiver US LLC / Optiver Holding BV / Optiver VOF / Dowson / Meijer,large futures trading opposite accumulated TAS position during pre-close and close,14:25:00 America/Chicago,14:30:00 America/Chicago,public complaint states large number/significant volume; instance-level order count not exported,public complaint table lists contract/date only; quantities require non-public exhibits,Official CFTC complaint alleges a March 2007 NYMEX energy-futures marking/banging-the-close scheme and lists this date/product as an instance with intent to affect prices. source_seen_in_pdf_strings=True,candidate_only_no_public_matched_control_cftc_optiver_20070306_light_sweet_crude_oil_futures_1,nymex_preclose_close,cftc_optiver_20070306_light_sweet_crude_oil_futures_1
positive_marking_close_candidate,"CFTC Complaint: CFTC v. Optiver US LLC et al., filed July 24 2008",Complaint paragraph 256 table; paragraphs 99-126 describe TAS/futures marking-close scheme,2007-03-08,New York Harbor Gasoline futures,NYMEX,CFTC respondent proprietary trading firm and supervised traders,Optiver US LLC / Optiver Holding BV / Optiver VOF / Dowson / Meijer,large futures trading opposite accumulated TAS position during pre-close and close,14:25:00 America/Chicago,14:30:00 America/Chicago,public complaint states large number/significant volume; instance-level order count not exported,public complaint table lists contract/date only; quantities require non-public exhibits,Official CFTC complaint alleges a March 2007 NYMEX energy-futures marking/banging-the-close scheme and lists this date/product as an instance with intent to affect prices. source_seen_in_pdf_strings=True,candidate_only_no_public_matched_control_cftc_optiver_20070308_new_york_harbor_gasoline_futures_1,nymex_preclose_close,cftc_optiver_20070308_new_york_harbor_gasoline_futures_1
positive_marking_close_candidate,"CFTC Complaint: CFTC v. Optiver US LLC et al., filed July 24 2008",Complaint paragraph 256 table; paragraphs 99-126 describe TAS/futures marking-close scheme,2007-03-08,New York Harbor Gasoline futures,NYMEX,CFTC respondent proprietary trading firm and supervised traders,Optiver US LLC / Optiver Holding BV / Optiver VOF / Dowson / Meijer,large futures trading opposite accumulated TAS position during pre-close and close,14:25:00 America/Chicago,14:30:00 America/Chicago,public complaint states large number/significant volume; instance-level order count not exported,public complaint table lists contract/date only; quantities require non-public exhibits,Official CFTC complaint alleges a March 2007 NYMEX energy-futures marking/banging-the-close scheme and lists this date/product as an instance with intent to affect prices. source_seen_in_pdf_strings=True,candidate_only_no_public_matched_control_cftc_optiver_20070308_new_york_harbor_gasoline_futures_2,nymex_preclose_close,cftc_optiver_20070308_new_york_harbor_gasoline_futures_2
positive_marking_close_candidate,"CFTC Complaint: CFTC v. Optiver US LLC et al., filed July 24 2008",Complaint paragraph 256 table; paragraphs 99-126 describe TAS/futures marking-close scheme,2007-03-09,Heating Oil futures,NYMEX,CFTC respondent proprietary trading firm and supervised traders,Optiver US LLC / Optiver Holding BV / Optiver VOF / Dowson / Meijer,large futures trading opposite accumulated TAS position during pre-close and close,14:25:00 America/Chicago,14:30:00 America/Chicago,public complaint states large number/significant volume; instance-level order count not exported,public complaint table lists contract/date only; quantities require non-public exhibits,Official CFTC complaint alleges a March 2007 NYMEX energy-futures marking/banging-the-close scheme and lists this date/product as an instance with intent to affect prices. source_seen_in_pdf_strings=True,candidate_only_no_public_matched_control_cftc_optiver_20070309_heating_oil_futures_1,nymex_preclose_close,cftc_optiver_20070309_heating_oil_futures_1
positive_marking_close_candidate,"CFTC Complaint: CFTC v. Optiver US LLC et al., filed July 24 2008",Complaint paragraph 256 table; paragraphs 99-126 describe TAS/futures marking-close scheme,2007-03-09,Heating Oil futures,NYMEX,CFTC respondent proprietary trading firm and supervised traders,Optiver US LLC / Optiver Holding BV / Optiver VOF / Dowson / Meijer,large futures trading opposite accumulated TAS position during pre-close and close,14:25:00 America/Chicago,14:30:00 America/Chicago,public complaint states large number/significant volume; instance-level order count not exported,public complaint table lists contract/date only; quantities require non-public exhibits,Official CFTC complaint alleges a March 2007 NYMEX energy-futures marking/banging-the-close scheme and lists this date/product as an instance with intent to affect prices. source_seen_in_pdf_strings=True,candidate_only_no_public_matched_control_cftc_optiver_20070309_heating_oil_futures_2,nymex_preclose_close,cftc_optiver_20070309_heating_oil_futures_2
positive_marking_close_candidate,"CFTC Complaint: CFTC v. Optiver US LLC et al., filed July 24 2008",Complaint paragraph 256 table; paragraphs 99-126 describe TAS/futures marking-close scheme,2007-03-13,New York Harbor Gasoline futures,NYMEX,CFTC respondent proprietary trading firm and supervised traders,Optiver US LLC / Optiver Holding BV / Optiver VOF / Dowson / Meijer,large futures trading opposite accumulated TAS position during pre-close and close,14:25:00 America/Chicago,14:30:00 America/Chicago,public complaint states large number/significant volume; instance-level order count not exported,public complaint table lists contract/date only; quantities require non-public exhibits,Official CFTC complaint alleges a March 2007 NYMEX energy-futures marking/banging-the-close scheme and lists this date/product as an instance with intent to affect prices. source_seen_in_pdf_strings=True,candidate_only_no_public_matched_control_cftc_optiver_20070313_new_york_harbor_gasoline_futures_1,nymex_preclose_close,cftc_optiver_20070313_new_york_harbor_gasoline_futures_1
positive_marking_close_candidate,"CFTC Complaint: CFTC v. Optiver US LLC et al., filed July 24 2008",Complaint paragraph 256 table; paragraphs 99-126 describe TAS/futures marking-close scheme,2007-03-13,Light Sweet Crude Oil futures,NYMEX,CFTC respondent proprietary trading firm and supervised traders,Optiver US LLC / Optiver Holding BV / Optiver VOF / Dowson / Meijer,large futures trading opposite accumulated TAS position during pre-close and close,14:25:00 America/Chicago,14:30:00 America/Chicago,public complaint states large number/significant volume; instance-level order count not exported,public complaint table lists contract/date only; quantities require non-public exhibits,Official CFTC complaint alleges a March 2007 NYMEX energy-futures marking/banging-the-close scheme and lists this date/product as an instance with intent to affect prices. source_seen_in_pdf_strings=True,candidate_only_no_public_matched_control_cftc_optiver_20070313_light_sweet_crude_oil_futures_2,nymex_preclose_close,cftc_optiver_20070313_light_sweet_crude_oil_futures_2
positive_marking_close_candidate,"CFTC Complaint: CFTC v. Optiver US LLC et al., filed July 24 2008",Complaint paragraph 256 table; paragraphs 99-126 describe TAS/futures marking-close scheme,2007-03-14,New York Harbor Gasoline futures,NYMEX,CFTC respondent proprietary trading firm and supervised traders,Optiver US LLC / Optiver Holding BV / Optiver VOF / Dowson / Meijer,large futures trading opposite accumulated TAS position during pre-close and close,14:25:00 America/Chicago,14:30:00 America/Chicago,public complaint states large number/significant volume; instance-level order count not exported,public complaint table lists contract/date only; quantities require non-public exhibits,Official CFTC complaint alleges a March 2007 NYMEX energy-futures marking/banging-the-close scheme and lists this date/product as an instance with intent to affect prices. source_seen_in_pdf_strings=True,candidate_only_no_public_matched_control_cftc_optiver_20070314_new_york_harbor_gasoline_futures_1,nymex_preclose_close,cftc_optiver_20070314_new_york_harbor_gasoline_futures_1
